latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-34.458,150.883,305.9,1,1,2021-07-06,0000,T,47,6.0NRT,283.4,8.9,D
-9.599,-40.333,306.2,3,1.6,2021-07-06,0040,T,67,6.0NRT,289.8,34.2,N
-9.584,-40.335,322.2,3,1.6,2021-07-06,0040,T,100,6.0NRT,289.6,96.2,N
-9.587,-40.362,305.4,3,1.6,2021-07-06,0040,T,64,6.0NRT,289.4,30.5,N
-9.598,-40.338,314.7,3,1.6,2021-07-06,0040,T,90,6.0NRT,289.7,65.4,N
-9.584,-40.34,323.6,3,1.6,2021-07-06,0040,T,100,6.0NRT,289.6,105.6,N
-3.126,-40.052,302.8,2.2,1.4,2021-07-06,0040,T,51,6.0NRT,292.2,13.8,N
29.229,19.703,307.6,1.4,1.2,2021-07-06,0015,A,72,6.0NRT,293.7,11.1,N
28.906,20.951,310.3,1.2,1.1,2021-07-06,0015,A,80,6.0NRT,297,10.4,N
28.904,20.964,310.1,1.2,1.1,2021-07-06,0015,A,79,6.0NRT,296.9,10.2,N
28.916,19.767,308,1.4,1.2,2021-07-06,0015,A,73,6.0NRT,296.1,11.8,N
28.914,19.781,327.7,1.4,1.2,2021-07-06,0015,A,100,6.0NRT,296.1,40.6,N
27.994,22.323,316.1,1,1,2021-07-06,0015,A,93,6.0NRT,295.9,14.7,N
27.992,22.333,310.3,1,1,2021-07-06,0015,A,80,6.0NRT,295.8,9.9,N
28.165,20.829,317.9,1.2,1.1,2021-07-06,0015,A,96,6.0NRT,295.2,19.3,N
27.647,22.504,319.1,1,1,2021-07-06,0015,A,98,6.0NRT,297.3,16.8,N
27.587,22.403,309.9,1,1,2021-07-06,0015,A,79,6.0NRT,295.6,9.4,N
52.848,29.986,301.2,1,1,2021-07-06,0010,A,39,6.0NRT,289,5.6,N
52.846,30.002,301.2,1,1,2021-07-06,0010,A,38,6.0NRT,288.3,5.7,N
48.166,30.622,304,1,1,2021-07-06,0010,A,58,6.0NRT,286.1,6.9,N
-2.74,15.869,302.3,1,1,2021-07-06,0025,A,48,6.0NRT,290,5.4,N
-2.741,15.878,316.1,1,1,2021-07-06,0025,A,93,6.0NRT,290.5,15.3,N
-3.888,16.345,302.1,1,1,2021-07-06,0025,A,47,6.0NRT,289.1,5.7,N
-3.889,16.354,310.1,1,1,2021-07-06,0025,A,79,6.0NRT,289.5,10.8,N
-4.014,14.841,344.7,1.1,1,2021-07-06,0025,A,100,6.0NRT,283.3,59.1,N
-4.016,14.851,326.6,1.1,1,2021-07-06,0025,A,100,6.0NRT,285.1,28.9,N
-4.134,12.999,309.9,1.3,1.1,2021-07-06,0025,A,79,6.0NRT,289.4,15.4,N
-4.509,12.053,313.8,1.5,1.2,2021-07-06,0025,A,88,6.0NRT,289.7,26.2,N
-6.503,25.896,303.7,4.2,1.9,2021-07-06,0025,A,57,6.0NRT,286.8,63.4,N
-6.508,25.934,316.3,4.2,1.9,2021-07-06,0025,A,93,6.0NRT,287.9,136,N
-6.511,25.93,314.2,4.2,1.9,2021-07-06,0025,A,89,6.0NRT,287.6,118.9,N
-6.885,25.785,303.2,4.2,1.9,2021-07-06,0025,A,54,6.0NRT,285.6,61.2,N
-6.889,25.822,305.5,4.2,1.9,2021-07-06,0025,A,64,6.0NRT,285.4,73.5,N
-6.894,25.817,308.1,4.2,1.9,2021-07-06,0025,A,73,6.0NRT,285.3,86.8,N
-6.979,25.548,302.6,4,1.9,2021-07-06,0025,A,49,6.0NRT,285.2,51.4,N
-6.983,25.54,303.3,4,1.9,2021-07-06,0025,A,54,6.0NRT,284.8,56.5,N
-7.053,25.241,306.9,3.8,1.8,2021-07-06,0025,A,70,6.0NRT,286.3,68.5,N
-7.059,25.233,300.3,3.8,1.8,2021-07-06,0025,A,23,6.0NRT,286.1,38.6,N
-5.969,15.838,305.8,1,1,2021-07-06,0025,A,66,6.0NRT,281.3,8.5,N
-6.448,19.059,317.3,1.3,1.1,2021-07-06,0025,A,71,6.0NRT,285.3,22.9,N
-6.446,19.053,306.3,1.3,1.1,2021-07-06,0025,A,66,6.0NRT,284.8,12,N
-6.448,19.064,305.1,1.3,1.1,2021-07-06,0025,A,57,6.0NRT,284.5,11,N
